Cell,A1,A1_num,A2,A2_num,A3,A3_num,A4,A4_num,A5,A5_num,A6,A6_num,overall_attack_success,overall_attack_success_num,friction_stable,friction_stable_num,n_stable,friction_drift,friction_drift_num,n_drift
P,"0.000 [0.000, 0.114]",0.0,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"0.367 [0.219, 0.545]",0.3667,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"0.394 [0.326, 0.467]",0.3944,"0.039 [0.032, 0.049]",0.0393,1958,"0.975 [0.913, 0.993]",0.975,80
P-minus-device-binding,"0.000 [0.000, 0.114]",0.0,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"0.967 [0.833, 0.994]",0.9667,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"0.494 [0.422, 0.567]",0.4944,"0.039 [0.031, 0.048]",0.0389,1954,"0.975 [0.912, 0.993]",0.9747,79
P-minus-context,"0.000 [0.000, 0.114]",0.0,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"1.000 [0.886, 1.000]",1.0,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"0.500 [0.428, 0.572]",0.5,"0.000 [0.000, 0.002]",0.0,1958,"0.000 [0.000, 0.046]",0.0,80
P-minus-velocity,"0.000 [0.000, 0.114]",0.0,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"0.667 [0.488, 0.808]",0.6667,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"0.444 [0.374, 0.517]",0.4444,"0.039 [0.031, 0.048]",0.0385,1998,"0.963 [0.895, 0.987]",0.9625,80
B1,"0.000 [0.000, 0.114]",0.0,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"1.000 [0.886, 1.000]",1.0,"0.000 [0.000, 0.114]",0.0,"1.000 [0.886, 1.000]",1.0,"0.500 [0.428, 0.572]",0.5,"0.000 [0.000, 0.002]",0.0,2005,"0.000 [0.000, 0.046]",0.0,80
